1	2	counts	3	4	label	connections	colour	id	idx	p1	p2	p1p2
775	774	273	Do not know whether the data will be stored securely	Do not know who will have access to that information	Do not know whether the data will be stored securely Do not know who will have access to that information	775 774	#bcff6e	343	383	0.7959183673469388	0.7127937336814621	0.5673256247668781
778	775	271	Medium Genetic Curiosity	Younger Participants	Medium Genetic Curiosity Younger Participants	778 775	#4e1b4a	327	599	0.8287461773700305	0.4524207011686144	0.37494192665655807
777	774	269	Law Students	Students	Law Students Students	777 774	#675ce0	269	561	1.0	0.47950089126559714	0.47950089126559714
778	775	267	Law Students	Younger Participants	Law Students Younger Participants	778 775	#6ec82f	269	599	0.9925650557620818	0.44574290484140233	0.4424288311994588
777	775	267	Agree to dissemination of GK	Younger Participants	Agree to dissemination of GK Younger Participants	777 775	#18df02	339	599	0.7876106194690266	0.44574290484140233	0.35107184540606023
776	775	266	Non Law Students	Younger Participants	Non Law Students Younger Participants	776 775	#8b96cd	292	599	0.910958904109589	0.44407345575959933	0.4045326686029227
1013	1012	266	Low GK Score	Less than 50 percent	Low GK Score Less than 50 percent	1013 1012	#b73033	496	451	0.5362903225806451	0.5898004434589801	0.31630427008082396
777	774	265	Agree to Revising and Updating	Students	Agree to Revising and Updating Students	777 774	#d9fbe8	353	561	0.7507082152974505	0.47237076648841353	0.35461261506920566
776	774	261	Two legal guardians need to agree	Female Participants	Two legal guardians need to agree Female Participants	776 774	#9b9149	404	497	0.6460396039603961	0.5251509054325956	0.33926828296511746
760	756	254	Agree to Revising and Updating	Agree to Policymaking	Agree to Revising and Updating Agree to Policymaking	760 756	#a62f96	353	318	0.7195467422096318	0.7987421383647799	0.5747323035259323
776	774	254	Do not know who will have access to that information	Low GK Confidence	Do not know who will have access to that information Low GK Confidence	776 774	#1a58e6	383	519	0.6631853785900783	0.48940269749518306	0.32456471322134856
777	774	253	Agree to dissemination of GK	Students	Agree to dissemination of GK Students	777 774	#279398	339	561	0.7463126843657817	0.45098039215686275	0.33657238706692116
777	774	253	Medium Concern	Students	Medium Concern Students	777 774	#c36f41	348	561	0.7270114942528736	0.45098039215686275	0.3278679287807077
778	775	252	Agree to Policymaking	Younger Participants	Agree to Policymaking Younger Participants	778 775	#86d0cd	318	599	0.7924528301886793	0.42070116861435725	0.33338583173213215
783	781	251	Two legal guardians need to agree	I am concerned my data will be used for other purposes without my knowledge	Two legal guardians need to agree I am concerned my data will be used for other purposes without my knowledge	783 781	#7891b1	404	498	0.6212871287128713	0.5040160642570282	0.31313869338741107
1013	1012	251	Low GK Confidence	Less than 50 percent	Low GK Confidence Less than 50 percent	1013 1012	#6dd5ec	519	451	0.4836223506743738	0.5565410199556541	0.269155676317667
1014	1012	251	Younger Participants	Less than 50 percent	Younger Participants Less than 50 percent	1014 1012	#46c9b4	599	451	0.41903171953255425	0.5565410199556541	0.23320834058241932
778	774	249	Medium Genetic Curiosity	Students	Medium Genetic Curiosity Students	778 774	#2fa041	327	561	0.7614678899082569	0.44385026737967914	0.3379777265368199
776	774	247	Two legal guardians need to agree	Low GK Score	Two legal guardians need to agree Low GK Score	776 774	#2fca34	404	496	0.6113861386138614	0.49798387096774194	0.30446043596295114
777	774	244	Agree to dissemination of GK	Low GK Confidence	Agree to dissemination of GK Low GK Confidence	777 774	#878f97	339	519	0.7197640117994101	0.4701348747591522	0.3383861635434606
776	774	244	Do not know who will have access to that information	Low GK Score	Do not know who will have access to that information Low GK Score	776 774	#2aadd7	383	496	0.6370757180156658	0.49193548387096775	0.31340015160448076
778	774	240	Agree to Policymaking	Students	Agree to Policymaking Students	778 774	#e0a503	318	561	0.7547169811320755	0.42780748663101603	0.32287357481586115
1013	1012	238	Students	Less than 50 percent	Students Less than 50 percent	1013 1012	#33c851	561	451	0.42424242424242425	0.5277161862527716	0.2238795941678425
777	774	237	Agree to Revising and Updating	Low GK Confidence	Agree to Revising and Updating Low GK Confidence	777 774	#b07e30	353	519	0.6713881019830028	0.45664739884393063	0.30658763038530185
784	781	236	Agree to Revising and Updating	I am concerned my data will be used for other purposes without my knowledge	Agree to Revising and Updating I am concerned my data will be used for other purposes without my knowledge	784 781	#82e6f3	353	498	0.6685552407932012	0.4738955823293173	0.316825375155011
777	774	235	Medium Concern	Low GK Confidence	Medium Concern Low GK Confidence	777 774	#e6fdda	348	519	0.6752873563218391	0.4527938342967245	0.305765951321064
777	774	234	Agree to Revising and Updating	Female Participants	Agree to Revising and Updating Female Participants	777 774	#f1b2bb	353	497	0.6628895184135978	0.4708249496981891	0.312104924162539
776	774	234	Do not know who will have access to that information	Female Participants	Do not know who will have access to that information Female Participants	776 774	#698cc3	383	497	0.6109660574412533	0.4708249496981891	0.287658063262079
777	774	232	Medium Concern	Low GK Score	Medium Concern Low GK Score	777 774	#71208d	348	496	0.6666666666666666	0.46774193548387094	0.31182795698924726
777	774	230	Agree to Revising and Updating	Low GK Score	Agree to Revising and Updating Low GK Score	777 774	#f1cbcb	353	496	0.6515580736543909	0.4637096774193548	0.30213378415425385
784	781	228	Agree to dissemination of GK	I am concerned my data will be used for other purposes without my knowledge	Agree to dissemination of GK I am concerned my data will be used for other purposes without my knowledge	784 781	#50d925	339	498	0.672566371681416	0.4578313253012048	0.3079219532999254
766	760	227	Agree to Policymaking	Agree to dissemination of GK	Agree to Policymaking Agree to dissemination of GK	766 760	#01fb41	318	339	0.7138364779874213	0.6696165191740413	0.47799669764939423
778	774	226	Medium Genetic Curiosity	Female Participants	Medium Genetic Curiosity Female Participants	778 774	#979f40	327	497	0.691131498470948	0.45472837022132795	0.3142770999083184
777	774	225	Agree to dissemination of GK	Low GK Score	Agree to dissemination of GK Low GK Score	777 774	#429199	339	496	0.6637168141592921	0.4536290322580645	0.3010812161004853
777	774	224	Agree to dissemination of GK	Female Participants	Agree to dissemination of GK Female Participants	777 774	#e3dca1	339	497	0.6607669616519174	0.4507042253521127	0.29781046158959656
764	759	223	Agree to Revising and Updating	Agree to dissemination of GK	Agree to Revising and Updating Agree to dissemination of GK	764 759	#028ee4	353	339	0.6317280453257791	0.6578171091445427	0.4155615165417367
1013	1012	222	Female Participants	Less than 50 percent	Female Participants Less than 50 percent	1013 1012	#a19449	497	451	0.44668008048289737	0.49223946784922396	0.21987356511574993
777	775	220	Younger Participants	Male Participants	Younger Participants Male Participants	777 775	#ab4825	599	276	0.3672787979966611	0.7971014492753623	0.29275846217125157
777	774	218	Medium Concern	Female Participants	Medium Concern Female Participants	777 774	#376a4e	348	497	0.6264367816091954	0.4386317907444668	0.2747750873054418
778	774	217	Agree to Policymaking	Low GK Confidence	Agree to Policymaking Low GK Confidence	778 774	#a17f1b	318	519	0.6823899371069182	0.41811175337186895	0.28531525308709293
778	774	216	Law Students	Low GK Score	Law Students Low GK Score	778 774	#3101df	269	496	0.8029739776951673	0.43548387096774194	0.3496822160930567
778	774	212	Law Students	Low GK Confidence	Law Students Low GK Confidence	778 774	#7a6643	269	519	0.7881040892193308	0.40847784200385356	0.32192305763872475
775	775	212	Not Students	Not Students	Not Students Not Students	775 775	#87c466	424	424	0.5	0.5	0.25
778	774	210	Agree to Policymaking	Female Participants	Agree to Policymaking Female Participants	778 774	#25e720	318	497	0.660377358490566	0.4225352112676056	0.27903268668615466
778	774	209	Agree to Policymaking	Low GK Score	Agree to Policymaking Low GK Score	778 774	#897061	318	496	0.6572327044025157	0.4213709677419355	0.27693878068573746
785	781	209	Agree to Policymaking	I am concerned my data will be used for other purposes without my knowledge	Agree to Policymaking I am concerned my data will be used for other purposes without my knowledge	785 781	#8c2e09	318	498	0.6572327044025157	0.41967871485943775	0.27582657674724054
778	774	209	Medium Genetic Curiosity	Low GK Score	Medium Genetic Curiosity Low GK Score	778 774	#2488c9	327	496	0.6391437308868502	0.4213709677419355	0.2693166124099832
776	775	207	Students	Male Participants	Students Male Participants	776 775	#da24af	561	276	0.3689839572192513	0.75	0.2767379679144385
778	774	206	Medium Genetic Curiosity	Low GK Confidence	Medium Genetic Curiosity Low GK Confidence	778 774	#a3694c	327	519	0.6299694189602446	0.3969171483622351	0.25004566532911443
761	755	200	Strongly agree to Revising and Updating	Strongly agree to Policymaking	Strongly agree to Revising and Updating Strongly agree to Policymaking	761 755	#5cfd30	231	278	0.8658008658008658	0.7194244604316546	0.6228783207200473
777	775	200	Younger Participants	High GK Score	Younger Participants High GK Score	777 775	#1ccd5d	599	277	0.333889816360601	0.7220216606498195	0.24107567968274443
777	776	197	Do not know who will have access to that information	High Concern	Do not know who will have access to that information High Concern	777 776	#c7c824	383	224	0.5143603133159269	0.8794642857142857	0.45236152555016784
765	761	196	Strongly agree to Policymaking	Strongly agree to dissemination of GK	Strongly agree to Policymaking Strongly agree to dissemination of GK	765 761	#ac098c	278	276	0.7050359712230215	0.7101449275362319	0.5006777186946095
777	774	196	Low Genetic Curiosity	Low GK Confidence	Low Genetic Curiosity Low GK Confidence	777 774	#28a794	258	519	0.7596899224806202	0.37764932562620424	0.2868963869098296
776	774	194	Non Law Students	Female Participants	Non Law Students Female Participants	776 774	#a5adab	292	497	0.6643835616438356	0.3903420523138833	0.2593368429756622
778	775	193	Strongly agree to dissemination of GK	Younger Participants	Strongly agree to dissemination of GK Younger Participants	778 775	#6def76	276	599	0.6992753623188406	0.32220367278797996	0.22530909002927585
777	775	193	Strongly agree to Policymaking	Younger Participants	Strongly agree to Policymaking Younger Participants	777 775	#d07504	278	599	0.6942446043165468	0.32220367278797996	0.22368816132402924
784	781	190	Strongly agree to Policymaking	I am concerned my data will be used for other purposes without my knowledge	Strongly agree to Policymaking I am concerned my data will be used for other purposes without my knowledge	784 781	#8841d0	278	498	0.6834532374100719	0.3815261044176707	0.2607552512207102
777	775	190	High GK Confidence	Younger Participants	High GK Confidence Younger Participants	777 775	#9b7aeb	254	599	0.7480314960629921	0.31719532554257096	0.23727209390979717
779	775	188	Two legal guardians need to agree	Agree to Revising and Updating	Two legal guardians need to agree Agree to Revising and Updating	779 775	#53fd09	404	353	0.46534653465346537	0.5325779036827195	0.24783328191176057
776	775	183	Low GK Confidence	Male Participants	Low GK Confidence Male Participants	776 775	#8a7b5e	519	276	0.35260115606936415	0.6630434782608695	0.2337898969590349
777	775	182	Two legal guardians need to agree	Medium Concern	Two legal guardians need to agree Medium Concern	777 775	#18cceb	404	348	0.4504950495049505	0.5229885057471264	0.2356037327870718
777	776	181	Two legal guardians need to agree	Medium Genetic Curiosity	Two legal guardians need to agree Medium Genetic Curiosity	777 776	#608fc6	404	327	0.44801980198019803	0.5535168195718655	0.24798649589729618
778	774	181	Strongly agree to dissemination of GK	Female Participants	Strongly agree to dissemination of GK Female Participants	778 774	#bf0c0c	276	497	0.6557971014492754	0.3641851106639839	0.23883153996442424
785	781	180	Strongly agree to dissemination of GK	I am concerned my data will be used for other purposes without my knowledge	Strongly agree to dissemination of GK I am concerned my data will be used for other purposes without my knowledge	785 781	#724896	276	498	0.6521739130434783	0.3614457831325301	0.2357255107386066
779	775	180	Prohibited until child has legal capacity	Younger Participants	Prohibited until child has legal capacity Younger Participants	779 775	#cf77ea	230	599	0.782608695652174	0.3005008347245409	0.23517456630616246
776	775	180	Students	High GK Score	Students High GK Score	776 775	#20fda0	561	277	0.32085561497326204	0.6498194945848376	0.20849823355663238
778	775	179	High Concern	Younger Participants	High Concern Younger Participants	778 775	#218d1f	224	599	0.7991071428571429	0.2988313856427379	0.23879829477700934
777	774	179	Strongly agree to Policymaking	Female Participants	Strongly agree to Policymaking Female Participants	777 774	#df812d	278	497	0.6438848920863309	0.36016096579476864	0.23190220459447333
776	775	179	Students	High GK Confidence	Students High GK Confidence	776 775	#a1dfd0	561	254	0.31907308377896615	0.7047244094488189	0.22485859053714544
778	774	175	Strongly agree to dissemination of GK	Students	Strongly agree to dissemination of GK Students	778 774	#f5970f	276	561	0.6340579710144928	0.31194295900178254	0.19778991965692735
778	775	174	Agree to Revising and Updating	Medium Concern	Agree to Revising and Updating Medium Concern	778 775	#f0055b	353	348	0.49291784702549574	0.5	0.24645892351274787
776	775	174	Female Participants	High GK Score	Female Participants High GK Score	776 775	#be1f3f	497	277	0.3501006036217304	0.628158844765343	0.21991879072267542
777	774	173	Male Participants	Low GK Score	Male Participants Low GK Score	777 774	#039900	276	496	0.6268115942028986	0.3487903225806452	0.21862581813931745
777	774	173	Strongly agree to Policymaking	Low GK Confidence	Strongly agree to Policymaking Low GK Confidence	777 774	#e64a53	278	519	0.6223021582733813	0.3333333333333333	0.20743405275779375
777	774	173	Strongly agree to Policymaking	Students	Strongly agree to Policymaking Students	777 774	#d6d074	278	561	0.6223021582733813	0.3083778966131907	0.19190423062619422
779	774	172	Prohibited until child has legal capacity	Students	Prohibited until child has legal capacity Students	779 774	#ebcdf6	230	561	0.7478260869565218	0.3065953654188948	0.229280012400217
777	775	172	Low Genetic Curiosity	Younger Participants	Low Genetic Curiosity Younger Participants	777 775	#ab81e3	258	599	0.6666666666666666	0.2871452420701169	0.1914301613800779
1013	1012	172	Two legal guardians need to agree	Less than 50 percent	Two legal guardians need to agree Less than 50 percent	1013 1012	#519350	404	451	0.42574257425742573	0.38137472283813745	0.1623674562578209
776	774	170	Non Law Students	Low GK Confidence	Non Law Students Low GK Confidence	776 774	#fdd6f1	292	519	0.5821917808219178	0.32755298651252407	0.190698656531264
1011	1009	170	Agree to dissemination of GK	Less than 50 percent	Agree to dissemination of GK Less than 50 percent	1011 1009	#b991c8	339	451	0.5014749262536873	0.376940133037694	0.18902602541713268
779	775	169	Two legal guardians need to agree	Agree to dissemination of GK	Two legal guardians need to agree Agree to dissemination of GK	779 775	#dd1641	404	339	0.4183168316831683	0.49852507374631266	0.20854142936417533
1013	1012	168	Do not know who will have access to that information	Less than 50 percent	Do not know who will have access to that information Less than 50 percent	1013 1012	#2a6101	383	451	0.4386422976501306	0.37250554323725055	0.16339668737299765
777	774	167	Low Genetic Curiosity	Low GK Score	Low Genetic Curiosity Low GK Score	777 774	#033356	258	496	0.6472868217054264	0.33669354838709675	0.21793729682420604
777	775	166	Do not know who will have access to that information	Medium Concern	Do not know who will have access to that information Medium Concern	777 775	#c78101	383	348	0.43342036553524804	0.47701149425287354	0.2067464962035953
776	774	165	Non Law Students	Low GK Score	Non Law Students Low GK Score	776 774	#3f7961	292	496	0.565068493150685	0.3326612903225806	0.1879764140521432
785	781	164	Prohibited until child has legal capacity	I am concerned my data will be used for other purposes without my knowledge	Prohibited until child has legal capacity I am concerned my data will be used for other purposes without my knowledge	785 781	#5f37b9	230	498	0.7130434782608696	0.3293172690763052	0.23481753099353936
778	775	163	Agree to dissemination of GK	Medium Concern	Agree to dissemination of GK Medium Concern	778 775	#12f78b	339	348	0.4808259587020649	0.46839080459770116	0.2252144576679212
777	774	163	Low Genetic Curiosity	Students	Low Genetic Curiosity Students	777 774	#f13d43	258	561	0.6317829457364341	0.2905525846702317	0.1835661678342937
765	760	161	Strongly agree to Revising and Updating	Strongly agree to dissemination of GK	Strongly agree to Revising and Updating Strongly agree to dissemination of GK	765 760	#4c9536	231	276	0.696969696969697	0.5833333333333334	0.40656565656565663
778	774	161	High Concern	Students	High Concern Students	778 774	#00d88d	224	561	0.71875	0.28698752228163993	0.2062722816399287
777	774	161	High GK Confidence	Female Participants	High GK Confidence Female Participants	777 774	#521f85	254	497	0.6338582677165354	0.323943661971831	0.2053343684152157
779	774	160	Prohibited until child has legal capacity	Low GK Score	Prohibited until child has legal capacity Low GK Score	779 774	#cf7618	230	496	0.6956521739130435	0.3225806451612903	0.2244039270687237
778	774	160	Law Students	Female Participants	Law Students Female Participants	778 774	#99077f	269	497	0.5947955390334573	0.32193158953722334	0.19148347333069046
785	781	159	Strongly agree to Revising and Updating	I am concerned my data will be used for other purposes without my knowledge	Strongly agree to Revising and Updating I am concerned my data will be used for other purposes without my knowledge	785 781	#7aab90	231	498	0.6883116883116883	0.3192771084337349	0.21976216554529807
779	776	158	Two legal guardians need to agree	Strongly agree to dissemination of GK	Two legal guardians need to agree Strongly agree to dissemination of GK	779 776	#4f958d	404	276	0.3910891089108911	0.572463768115942	0.22388434495623477
779	776	158	Two legal guardians need to agree	Agree to Policymaking	Two legal guardians need to agree Agree to Policymaking	779 776	#624ca7	404	318	0.3910891089108911	0.4968553459119497	0.19431471449031695
776	775	157	Two legal guardians need to agree	High GK Score	Two legal guardians need to agree High GK Score	776 775	#804e0d	404	277	0.3886138613861386	0.5667870036101083	0.22026128605640347
779	774	157	Prohibited until child has legal capacity	Low GK Confidence	Prohibited until child has legal capacity Low GK Confidence	779 774	#4f83eb	230	519	0.6826086956521739	0.302504816955684	0.20649241853061906
1014	1010	157	Younger Participants	75 percent	Younger Participants 75 percent	1014 1010	#48b2cd	599	219	0.2621035058430718	0.7168949771689498	0.18790068683727065
778	774	157	Strongly agree to dissemination of GK	Low GK Confidence	Strongly agree to dissemination of GK Low GK Confidence	778 774	#082dd2	276	519	0.5688405797101449	0.302504816955684	0.17207701544218254
776	775	156	High Genetic Curiosity	Younger Participants	High Genetic Curiosity Younger Participants	776 775	#b11f4e	188	599	0.8297872340425532	0.2604340567612688	0.21610485561041454
777	774	156	Two legal guardians need to agree	Non Law Students	Two legal guardians need to agree Non Law Students	777 774	#d99035	404	292	0.38613861386138615	0.5342465753424658	0.20629323206293235
778	776	155	Agree to Revising and Updating	Medium Genetic Curiosity	Agree to Revising and Updating Medium Genetic Curiosity	778 776	#2635b2	353	327	0.43909348441926344	0.4740061162079511	0.20813299720179154
1010	1008	155	Agree to Revising and Updating	Less than 50 percent	Agree to Revising and Updating Less than 50 percent	1010 1008	#90a1a0	353	451	0.43909348441926344	0.3436807095343681	0.15090796027713047
779	775	154	Agree to Policymaking	Medium Concern	Agree to Policymaking Medium Concern	779 775	#802282	318	348	0.48427672955974843	0.4425287356321839	0.21430636882816453
778	775	154	Strongly agree to Revising and Updating	Younger Participants	Strongly agree to Revising and Updating Younger Participants	778 775	#36d59e	231	599	0.6666666666666666	0.2570951585976628	0.17139677239844187
779	775	151	Two legal guardians need to agree	Strongly agree to Policymaking	Two legal guardians need to agree Strongly agree to Policymaking	779 775	#a9b72e	404	278	0.37376237623762376	0.5431654676258992	0.2030148158700762
1013	1010	151	Students	75 percent	Students 75 percent	1013 1010	#6ba547	561	219	0.26916221033868093	0.6894977168949772	0.18558672950292612
776	775	151	Low GK Confidence	High GK Score	Low GK Confidence High GK Score	776 775	#fb8215	519	277	0.2909441233140655	0.5451263537906137	0.15860130909900322
776	774	149	High Genetic Curiosity	Students	High Genetic Curiosity Students	776 774	#ce5442	188	561	0.7925531914893617	0.26559714795008915	0.21049986725831532
776	775	149	Do not know who will have access to that information	Male Participants	Do not know who will have access to that information Male Participants	776 775	#42e881	383	276	0.38903394255874674	0.5398550724637681	0.2100219472509176
779	775	149	Medium Genetic Curiosity	Medium Concern	Medium Genetic Curiosity Medium Concern	779 775	#58a76e	327	348	0.45565749235474007	0.4281609195402299	0.19509473092200078
1014	1012	149	Medium Concern	Less than 50 percent	Medium Concern Less than 50 percent	1014 1012	#57817a	348	451	0.4281609195402299	0.3303769401330377	0.1414544944822489
777	776	148	Do not know who will have access to that information	Law Students	Do not know who will have access to that information Law Students	777 776	#5c98cf	383	269	0.38642297650130547	0.550185873605948	0.21260446290778146
1010	1007	148	Agree to Policymaking	Less than 50 percent	Agree to Policymaking Less than 50 percent	1010 1007	#ed20f0	318	451	0.46540880503144655	0.328159645232816	0.15272838834734834
778	776	147	Agree to dissemination of GK	Medium Genetic Curiosity	Agree to dissemination of GK Medium Genetic Curiosity	778 776	#f882dc	339	327	0.4336283185840708	0.44954128440366975	0.19493383129008687
778	774	147	High Concern	Female Participants	High Concern Female Participants	778 774	#5a14cc	224	497	0.65625	0.29577464788732394	0.19410211267605634
776	774	147	Low Concern	Students	Low Concern Students	776 774	#b4f063	201	561	0.7313432835820896	0.2620320855614973	0.1916354058584085
777	774	146	Not Students	Older Participants	Not Students Older Participants	777 774	#158490	212	174	0.6886792452830188	0.8390804597701149	0.5778572977662112
777	776	146	Do not know who will have access to that information	Medium Genetic Curiosity	Do not know who will have access to that information Medium Genetic Curiosity	777 776	#dd7c26	383	327	0.381201044386423	0.44648318042813456	0.17019985468017662
778	774	145	Strongly agree to Revising and Updating	Female Participants	Strongly agree to Revising and Updating Female Participants	778 774	#1b19b2	231	497	0.6277056277056277	0.2917505030181087	0.1831334326304145
776	775	145	Low Concern	Younger Participants	Low Concern Younger Participants	776 775	#8e0325	201	599	0.7213930348258707	0.24207011686143573	0.1746276962433243
777	774	145	Low Genetic Curiosity	Female Participants	Low Genetic Curiosity Female Participants	777 774	#fa7971	258	497	0.562015503875969	0.2917505030181087	0.16396830595978976
779	774	144	Prohibited until child has legal capacity	Female Participants	Prohibited until child has legal capacity Female Participants	779 774	#712e7a	230	497	0.6260869565217392	0.289738430583501	0.18140145219140935
778	774	144	High Concern	Low GK Confidence	High Concern Low GK Confidence	778 774	#453dde	224	519	0.6428571428571429	0.2774566473988439	0.17836498761354252
778	774	144	Strongly agree to dissemination of GK	Low GK Score	Strongly agree to dissemination of GK Low GK Score	778 774	#86a2ac	276	496	0.5217391304347826	0.2903225806451613	0.1514726507713885
777	774	143	Not Students	Female Participants	Not Students Female Participants	777 774	#848aab	212	497	0.6745283018867925	0.28772635814889336	0.1940795717702441
776	775	143	Two legal guardians need to agree	Male Participants	Two legal guardians need to agree Male Participants	776 775	#a96ae3	404	276	0.35396039603960394	0.5181159420289855	0.1833925240350122
778	774	143	Strongly agree to Revising and Updating	Low GK Confidence	Strongly agree to Revising and Updating Low GK Confidence	778 774	#99e98e	231	519	0.6190476190476191	0.27552986512524086	0.17056610698229197
780	779	142	I am worried some information about my physical or mental health could be used against me for example employment; legal matters; obtaining insurance	I would not want to be labelled as having any deficiency	I am worried some information about my physical or mental health could be used against me for example employment; legal matters; obtaining insurance I would not want to be labelled as having any deficiency	780 779	#e3007f	448	164	0.3169642857142857	0.8658536585365854	0.27444468641114983
777	775	140	Do not know who will have access to that information	Low Genetic Curiosity	Do not know who will have access to that information Low Genetic Curiosity	777 775	#185001	383	258	0.36553524804177545	0.5426356589147286	0.1983524601777076
776	774	140	Low Concern	Low GK Confidence	Low Concern Low GK Confidence	776 774	#7b46a5	201	519	0.6965174129353234	0.2697495183044316	0.18788523662995238
1015	1012	140	Law Students	Less than 50 percent	Law Students Less than 50 percent	1015 1012	#0d59f4	269	451	0.5204460966542751	0.31042128603104213	0.16155754663325614
778	774	140	Strongly agree to Revising and Updating	Students	Strongly agree to Revising and Updating Students	778 774	#2df6df	231	561	0.6060606060606061	0.24955436720142601	0.15124507103116727
777	775	139	Strongly agree to Policymaking	High GK Score	Strongly agree to Policymaking High GK Score	777 775	#84412c	278	277	0.5	0.5018050541516246	0.2509025270758123
776	775	139	Do not know who will have access to that information	High GK Score	Do not know who will have access to that information High GK Score	776 775	#572546	383	277	0.3629242819843342	0.5018050541516246	0.18211723897408827
777	774	139	Strongly agree to Policymaking	Low GK Score	Strongly agree to Policymaking Low GK Score	777 774	#2ebd93	278	496	0.5	0.28024193548387094	0.14012096774193547
778	774	138	Agree to Revising and Updating	Non Law Students	Agree to Revising and Updating Non Law Students	778 774	#00f7b2	353	292	0.3909348441926346	0.4726027397260274	0.18475687841980676
779	776	138	Agree to Policymaking	Medium Genetic Curiosity	Agree to Policymaking Medium Genetic Curiosity	779 776	#561da5	318	327	0.4339622641509434	0.42201834862385323	0.1831400380820495
1013	1010	138	Low GK Score	75 percent	Low GK Score 75 percent	1013 1010	#147bc2	496	219	0.2782258064516129	0.6301369863013698	0.17532037118868757
777	774	137	Not Students	Low GK Confidence	Not Students Low GK Confidence	777 774	#b21dad	212	519	0.6462264150943396	0.26396917148362237	0.17058385138328427
1015	1012	136	Medium Genetic Curiosity	Less than 50 percent	Medium Genetic Curiosity Less than 50 percent	1015 1012	#ccfabf	327	451	0.41590214067278286	0.30155210643015523	0.1254161665886884
778	776	135	Agree to dissemination of GK	Law Students	Agree to dissemination of GK Law Students	778 776	#0952b1	339	269	0.39823008849557523	0.5018587360594795	0.19985524887324405
779	774	135	Medium Genetic Curiosity	Non Law Students	Medium Genetic Curiosity Non Law Students	779 774	#32501e	327	292	0.41284403669724773	0.4623287671232877	0.19086967450043987
777	776	135	Two legal guardians need to agree	Law Students	Two legal guardians need to agree Law Students	777 776	#383d58	404	269	0.3341584158415842	0.5018587360594795	0.16770032021789538
776	774	134	Low Concern	Low GK Score	Low Concern Low GK Score	776 774	#f120af	201	496	0.6666666666666666	0.2701612903225806	0.1801075268817204
778	775	132	Strongly agree to dissemination of GK	High GK Score	Strongly agree to dissemination of GK High GK Score	778 775	#4ac639	276	277	0.4782608695652174	0.47653429602888087	0.22790770679642128
